Instance: chao_1.40a, Solution: SolutionB, Run: 1, Execution time: 1776 ms, Total distance: 762.583
Instance: chao_1.40a, Solution: SolutionB, Run: 2, Execution time: 1746 ms, Total distance: 740.939
Instance: chao_1.40a, Solution: SolutionB, Run: 3, Execution time: 1759 ms, Total distance: 741.455
Instance: chao_1.40a, Solution: SolutionB, Run: 4, Execution time: 1761 ms, Total distance: 740.913
Instance: chao_1.40a, Solution: SolutionB, Run: 5, Execution time: 1759 ms, Total distance: 787.417
Instance: chao_1.40a, Solution: SolutionB, Run: 6, Execution time: 1756 ms, Total distance: 754.638
Instance: chao_1.40a, Solution: SolutionB, Run: 7, Execution time: 1750 ms, Total distance: 672.643
Instance: chao_1.40a, Solution: SolutionB, Run: 8, Execution time: 1748 ms, Total distance: 746.607
Instance: chao_1.40a, Solution: SolutionB, Run: 9, Execution time: 1745 ms, Total distance: 778.88
Instance: chao_1.40a, Solution: SolutionB, Run: 10, Execution time: 1744 ms, Total distance: 736.436
Instance: chao_1.40a, Solution: SolutionC, Run: 1, Execution time: 1787 ms, Total distance: 751.174
Instance: chao_1.40a, Solution: SolutionC, Run: 2, Execution time: 1802 ms, Total distance: 719.502
Instance: chao_1.40a, Solution: SolutionC, Run: 3, Execution time: 1782 ms, Total distance: 729.008
Instance: chao_1.40a, Solution: SolutionC, Run: 4, Execution time: 1913 ms, Total distance: 740.885
Instance: chao_1.40a, Solution: SolutionC, Run: 5, Execution time: 1777 ms, Total distance: 738.279
Instance: chao_1.40a, Solution: SolutionC, Run: 6, Execution time: 1794 ms, Total distance: 719.043
Instance: chao_1.40a, Solution: SolutionC, Run: 7, Execution time: 1778 ms, Total distance: 774.5
Instance: chao_1.40a, Solution: SolutionC, Run: 8, Execution time: 1778 ms, Total distance: 742.218
Instance: chao_1.40a, Solution: SolutionC, Run: 9, Execution time: 1784 ms, Total distance: 742.874
Instance: chao_1.40a, Solution: SolutionC, Run: 10, Execution time: 1788 ms, Total distance: 705.64
Instance: chao_1.40a, Solution: SolutionR, Run: 1, Execution time: 1770 ms, Total distance: 768.645
Instance: chao_1.40a, Solution: SolutionR, Run: 2, Execution time: 1751 ms, Total distance: 759.266
Instance: chao_1.40a, Solution: SolutionR, Run: 3, Execution time: 1774 ms, Total distance: 782.316
Instance: chao_1.40a, Solution: SolutionR, Run: 4, Execution time: 1760 ms, Total distance: 796.095
Instance: chao_1.40a, Solution: SolutionR, Run: 5, Execution time: 1743 ms, Total distance: 761.954
Instance: chao_1.40a, Solution: SolutionR, Run: 6, Execution time: 1753 ms, Total distance: 800.692
Instance: chao_1.40a, Solution: SolutionR, Run: 7, Execution time: 1787 ms, Total distance: 765.035
Instance: chao_1.40a, Solution: SolutionR, Run: 8, Execution time: 1752 ms, Total distance: 791.26
Instance: chao_1.40a, Solution: SolutionR, Run: 9, Execution time: 1745 ms, Total distance: 771.955
Instance: chao_1.40a, Solution: SolutionR, Run: 10, Execution time: 1755 ms, Total distance: 778.617
Instance: chao_1.40b, Solution: SolutionB, Run: 1, Execution time: 1787 ms, Total distance: 686.585
Instance: chao_1.40b, Solution: SolutionB, Run: 2, Execution time: 1727 ms, Total distance: 676.229
Instance: chao_1.40b, Solution: SolutionB, Run: 3, Execution time: 1751 ms, Total distance: 685.191
Instance: chao_1.40b, Solution: SolutionB, Run: 4, Execution time: 1742 ms, Total distance: 719.419
Instance: chao_1.40b, Solution: SolutionB, Run: 5, Execution time: 1721 ms, Total distance: 688.851
Instance: chao_1.40b, Solution: SolutionB, Run: 6, Execution time: 1732 ms, Total distance: 708.573
Instance: chao_1.40b, Solution: SolutionB, Run: 7, Execution time: 1727 ms, Total distance: 698.341
Instance: chao_1.40b, Solution: SolutionB, Run: 8, Execution time: 1735 ms, Total distance: 669.247
Instance: chao_1.40b, Solution: SolutionB, Run: 9, Execution time: 1746 ms, Total distance: 707.884
Instance: chao_1.40b, Solution: SolutionB, Run: 10, Execution time: 1752 ms, Total distance: 699.637
Instance: chao_1.40b, Solution: SolutionC, Run: 1, Execution time: 1755 ms, Total distance: 713.576
Instance: chao_1.40b, Solution: SolutionC, Run: 2, Execution time: 1810 ms, Total distance: 704.882
Instance: chao_1.40b, Solution: SolutionC, Run: 3, Execution time: 1791 ms, Total distance: 719.249
Instance: chao_1.40b, Solution: SolutionC, Run: 4, Execution time: 1814 ms, Total distance: 712.53
Instance: chao_1.40b, Solution: SolutionC, Run: 5, Execution time: 1766 ms, Total distance: 679.128
Instance: chao_1.40b, Solution: SolutionC, Run: 6, Execution time: 1775 ms, Total distance: 695.22
Instance: chao_1.40b, Solution: SolutionC, Run: 7, Execution time: 1786 ms, Total distance: 728.254
Instance: chao_1.40b, Solution: SolutionC, Run: 8, Execution time: 1769 ms, Total distance: 734.343
Instance: chao_1.40b, Solution: SolutionC, Run: 9, Execution time: 1863 ms, Total distance: 685.158
Instance: chao_1.40b, Solution: SolutionC, Run: 10, Execution time: 1799 ms, Total distance: 712.89
Instance: chao_1.40b, Solution: SolutionR, Run: 1, Execution time: 1742 ms, Total distance: 743.322
Instance: chao_1.40b, Solution: SolutionR, Run: 2, Execution time: 1730 ms, Total distance: 761.92
Instance: chao_1.40b, Solution: SolutionR, Run: 3, Execution time: 1754 ms, Total distance: 752.074
Instance: chao_1.40b, Solution: SolutionR, Run: 4, Execution time: 1720 ms, Total distance: 734.42
Instance: chao_1.40b, Solution: SolutionR, Run: 5, Execution time: 1761 ms, Total distance: 738.712
Instance: chao_1.40b, Solution: SolutionR, Run: 6, Execution time: 1735 ms, Total distance: 720.575
Instance: chao_1.40b, Solution: SolutionR, Run: 7, Execution time: 1747 ms, Total distance: 756.629
Instance: chao_1.40b, Solution: SolutionR, Run: 8, Execution time: 1736 ms, Total distance: 770.621
Instance: chao_1.40b, Solution: SolutionR, Run: 9, Execution time: 1745 ms, Total distance: 741.566
Instance: chao_1.40b, Solution: SolutionR, Run: 10, Execution time: 1748 ms, Total distance: 742.692
Instance: chao_1.40c, Solution: SolutionB, Run: 1, Execution time: 1420 ms, Total distance: 725.536
Instance: chao_1.40c, Solution: SolutionB, Run: 2, Execution time: 1402 ms, Total distance: 679.288
Instance: chao_1.40c, Solution: SolutionB, Run: 3, Execution time: 1397 ms, Total distance: 722.48
Instance: chao_1.40c, Solution: SolutionB, Run: 4, Execution time: 1401 ms, Total distance: 673.783
Instance: chao_1.40c, Solution: SolutionB, Run: 5, Execution time: 1410 ms, Total distance: 741.432
Instance: chao_1.40c, Solution: SolutionB, Run: 6, Execution time: 1407 ms, Total distance: 686.621
Instance: chao_1.40c, Solution: SolutionB, Run: 7, Execution time: 1428 ms, Total distance: 739.011
Instance: chao_1.40c, Solution: SolutionB, Run: 8, Execution time: 1492 ms, Total distance: 701.441
Instance: chao_1.40c, Solution: SolutionB, Run: 9, Execution time: 1426 ms, Total distance: 738.101
Instance: chao_1.40c, Solution: SolutionB, Run: 10, Execution time: 1427 ms, Total distance: 736.161
Instance: chao_1.40c, Solution: SolutionC, Run: 1, Execution time: 1600 ms, Total distance: 720.85
Instance: chao_1.40c, Solution: SolutionC, Run: 2, Execution time: 1582 ms, Total distance: 750.395
Instance: chao_1.40c, Solution: SolutionC, Run: 3, Execution time: 1626 ms, Total distance: 666.898
Instance: chao_1.40c, Solution: SolutionC, Run: 4, Execution time: 1626 ms, Total distance: 681.872
Instance: chao_1.40c, Solution: SolutionC, Run: 5, Execution time: 1590 ms, Total distance: 662.529
Instance: chao_1.40c, Solution: SolutionC, Run: 6, Execution time: 1596 ms, Total distance: 722.149
Instance: chao_1.40c, Solution: SolutionC, Run: 7, Execution time: 1572 ms, Total distance: 713.872
Instance: chao_1.40c, Solution: SolutionC, Run: 8, Execution time: 1556 ms, Total distance: 711.459
Instance: chao_1.40c, Solution: SolutionC, Run: 9, Execution time: 1579 ms, Total distance: 680.371
Instance: chao_1.40c, Solution: SolutionC, Run: 10, Execution time: 1596 ms, Total distance: 689.367
Instance: chao_1.40c, Solution: SolutionR, Run: 1, Execution time: 1365 ms, Total distance: 765.082
Instance: chao_1.40c, Solution: SolutionR, Run: 2, Execution time: 1377 ms, Total distance: 756.594
Instance: chao_1.40c, Solution: SolutionR, Run: 3, Execution time: 1377 ms, Total distance: 788.845
Instance: chao_1.40c, Solution: SolutionR, Run: 4, Execution time: 1392 ms, Total distance: 724.749
Instance: chao_1.40c, Solution: SolutionR, Run: 5, Execution time: 1416 ms, Total distance: 762.278
Instance: chao_1.40c, Solution: SolutionR, Run: 6, Execution time: 1389 ms, Total distance: 776.368
Instance: chao_1.40c, Solution: SolutionR, Run: 7, Execution time: 1395 ms, Total distance: 759.327
Instance: chao_1.40c, Solution: SolutionR, Run: 8, Execution time: 1396 ms, Total distance: 744.91
Instance: chao_1.40c, Solution: SolutionR, Run: 9, Execution time: 1406 ms, Total distance: 768.039
Instance: chao_1.40c, Solution: SolutionR, Run: 10, Execution time: 1374 ms, Total distance: 771.037
Instance: chao_10.25, Solution: SolutionB, Run: 1, Execution time: 754 ms, Total distance: 525.251
Instance: chao_10.25, Solution: SolutionB, Run: 2, Execution time: 746 ms, Total distance: 525.644
Instance: chao_10.25, Solution: SolutionB, Run: 3, Execution time: 742 ms, Total distance: 489.198
Instance: chao_10.25, Solution: SolutionB, Run: 4, Execution time: 753 ms, Total distance: 505.315
Instance: chao_10.25, Solution: SolutionB, Run: 5, Execution time: 758 ms, Total distance: 505.441
Instance: chao_10.25, Solution: SolutionB, Run: 6, Execution time: 756 ms, Total distance: 510.362
Instance: chao_10.25, Solution: SolutionB, Run: 7, Execution time: 749 ms, Total distance: 525.142
Instance: chao_10.25, Solution: SolutionB, Run: 8, Execution time: 748 ms, Total distance: 517.933
Instance: chao_10.25, Solution: SolutionB, Run: 9, Execution time: 752 ms, Total distance: 543.853
Instance: chao_10.25, Solution: SolutionB, Run: 10, Execution time: 751 ms, Total distance: 529.058
Instance: chao_10.25, Solution: SolutionC, Run: 1, Execution time: 789 ms, Total distance: 524.344
Instance: chao_10.25, Solution: SolutionC, Run: 2, Execution time: 755 ms, Total distance: 533.345
Instance: chao_10.25, Solution: SolutionC, Run: 3, Execution time: 756 ms, Total distance: 528.483
Instance: chao_10.25, Solution: SolutionC, Run: 4, Execution time: 770 ms, Total distance: 515.821
Instance: chao_10.25, Solution: SolutionC, Run: 5, Execution time: 766 ms, Total distance: 547.505
Instance: chao_10.25, Solution: SolutionC, Run: 6, Execution time: 756 ms, Total distance: 525.063
Instance: chao_10.25, Solution: SolutionC, Run: 7, Execution time: 771 ms, Total distance: 542.845
Instance: chao_10.25, Solution: SolutionC, Run: 8, Execution time: 773 ms, Total distance: 565.66
Instance: chao_10.25, Solution: SolutionC, Run: 9, Execution time: 767 ms, Total distance: 552.442
Instance: chao_10.25, Solution: SolutionC, Run: 10, Execution time: 771 ms, Total distance: 551.659
Instance: chao_10.25, Solution: SolutionR, Run: 1, Execution time: 748 ms, Total distance: 583.398
Instance: chao_10.25, Solution: SolutionR, Run: 2, Execution time: 749 ms, Total distance: 594.688
Instance: chao_10.25, Solution: SolutionR, Run: 3, Execution time: 747 ms, Total distance: 606.864
Instance: chao_10.25, Solution: SolutionR, Run: 4, Execution time: 745 ms, Total distance: 578.324
Instance: chao_10.25, Solution: SolutionR, Run: 5, Execution time: 739 ms, Total distance: 542.787
Instance: chao_10.25, Solution: SolutionR, Run: 6, Execution time: 752 ms, Total distance: 586.171
Instance: chao_10.25, Solution: SolutionR, Run: 7, Execution time: 739 ms, Total distance: 596.728
Instance: chao_10.25, Solution: SolutionR, Run: 8, Execution time: 758 ms, Total distance: 589.749
Instance: chao_10.25, Solution: SolutionR, Run: 9, Execution time: 743 ms, Total distance: 563.082
Instance: chao_10.25, Solution: SolutionR, Run: 10, Execution time: 753 ms, Total distance: 581.71
Instance: chao_10.30a, Solution: SolutionB, Run: 1, Execution time: 1071 ms, Total distance: 589.539
Instance: chao_10.30a, Solution: SolutionB, Run: 2, Execution time: 1086 ms, Total distance: 636.954
Instance: chao_10.30a, Solution: SolutionB, Run: 3, Execution time: 1064 ms, Total distance: 615.867
Instance: chao_10.30a, Solution: SolutionB, Run: 4, Execution time: 1073 ms, Total distance: 631.509
Instance: chao_10.30a, Solution: SolutionB, Run: 5, Execution time: 1058 ms, Total distance: 614.939
Instance: chao_10.30a, Solution: SolutionB, Run: 6, Execution time: 1114 ms, Total distance: 620.037
Instance: chao_10.30a, Solution: SolutionB, Run: 7, Execution time: 1134 ms, Total distance: 591.772
Instance: chao_10.30a, Solution: SolutionB, Run: 8, Execution time: 1059 ms, Total distance: 584.591
Instance: chao_10.30a, Solution: SolutionB, Run: 9, Execution time: 1060 ms, Total distance: 600.191
Instance: chao_10.30a, Solution: SolutionB, Run: 10, Execution time: 1072 ms, Total distance: 600.018
Instance: chao_10.30a, Solution: SolutionC, Run: 1, Execution time: 1085 ms, Total distance: 657.772
Instance: chao_10.30a, Solution: SolutionC, Run: 2, Execution time: 1082 ms, Total distance: 664.274
Instance: chao_10.30a, Solution: SolutionC, Run: 3, Execution time: 1097 ms, Total distance: 601.027
Instance: chao_10.30a, Solution: SolutionC, Run: 4, Execution time: 1103 ms, Total distance: 637.539
Instance: chao_10.30a, Solution: SolutionC, Run: 5, Execution time: 1087 ms, Total distance: 663.78
Instance: chao_10.30a, Solution: SolutionC, Run: 6, Execution time: 1089 ms, Total distance: 656.4
Instance: chao_10.30a, Solution: SolutionC, Run: 7, Execution time: 1084 ms, Total distance: 639.852
Instance: chao_10.30a, Solution: SolutionC, Run: 8, Execution time: 1099 ms, Total distance: 639.554
Instance: chao_10.30a, Solution: SolutionC, Run: 9, Execution time: 1095 ms, Total distance: 622.612
Instance: chao_10.30a, Solution: SolutionC, Run: 10, Execution time: 1092 ms, Total distance: 641.453
Instance: chao_10.30a, Solution: SolutionR, Run: 1, Execution time: 1067 ms, Total distance: 678.964
Instance: chao_10.30a, Solution: SolutionR, Run: 2, Execution time: 1074 ms, Total distance: 680.32
Instance: chao_10.30a, Solution: SolutionR, Run: 3, Execution time: 1091 ms, Total distance: 679.572
Instance: chao_10.30a, Solution: SolutionR, Run: 4, Execution time: 1073 ms, Total distance: 644.138
Instance: chao_10.30a, Solution: SolutionR, Run: 5, Execution time: 1117 ms, Total distance: 681.489
Instance: chao_10.30a, Solution: SolutionR, Run: 6, Execution time: 1066 ms, Total distance: 659.755
Instance: chao_10.30a, Solution: SolutionR, Run: 7, Execution time: 1069 ms, Total distance: 634.67
Instance: chao_10.30a, Solution: SolutionR, Run: 8, Execution time: 1071 ms, Total distance: 645.854
Instance: chao_10.30a, Solution: SolutionR, Run: 9, Execution time: 1071 ms, Total distance: 640.507
Instance: chao_10.30a, Solution: SolutionR, Run: 10, Execution time: 1075 ms, Total distance: 672.003
Instance: chao_10.30b, Solution: SolutionB, Run: 1, Execution time: 1083 ms, Total distance: 559.655
Instance: chao_10.30b, Solution: SolutionB, Run: 2, Execution time: 1056 ms, Total distance: 560.061
Instance: chao_10.30b, Solution: SolutionB, Run: 3, Execution time: 1062 ms, Total distance: 540.899
Instance: chao_10.30b, Solution: SolutionB, Run: 4, Execution time: 1052 ms, Total distance: 566.531
Instance: chao_10.30b, Solution: SolutionB, Run: 5, Execution time: 1169 ms, Total distance: 562.193
Instance: chao_10.30b, Solution: SolutionB, Run: 6, Execution time: 1053 ms, Total distance: 548.431
Instance: chao_10.30b, Solution: SolutionB, Run: 7, Execution time: 1037 ms, Total distance: 550.482
Instance: chao_10.30b, Solution: SolutionB, Run: 8, Execution time: 1051 ms, Total distance: 552.214
Instance: chao_10.30b, Solution: SolutionB, Run: 9, Execution time: 1139 ms, Total distance: 552.845
Instance: chao_10.30b, Solution: SolutionB, Run: 10, Execution time: 1100 ms, Total distance: 552.187
Instance: chao_10.30b, Solution: SolutionC, Run: 1, Execution time: 1081 ms, Total distance: 585.261
Instance: chao_10.30b, Solution: SolutionC, Run: 2, Execution time: 1089 ms, Total distance: 614.938
