Instance,Solution,Run,Time,Value
chao_10.40b,C,10,1755,741.875
chao_10.40b,R,1,1731,816.557
chao_10.40b,R,2,1723,810.158
chao_10.40b,R,3,1749,812.392
chao_10.40b,R,4,1731,779.868
chao_10.40b,R,5,1733,792.755
chao_10.40b,R,6,1729,813.188
chao_10.40b,R,7,1748,792.267
chao_10.40b,R,8,1739,785.704
chao_10.40b,R,9,1755,793.759
chao_10.40b,R,10,1712,797.9
chao_10.40c,B,1,1395,851.904
chao_10.40c,B,2,1400,890.634
chao_10.40c,B,3,1372,821.593
chao_10.40c,B,4,1399,870.899
chao_10.40c,B,5,1394,813.309
chao_10.40c,B,6,1402,829.057
chao_10.40c,B,7,1427,841.637
chao_10.40c,B,8,1404,875.67
chao_10.40c,B,9,1393,866.167
chao_10.40c,B,10,1416,890.23
chao_10.40c,C,1,1547,874.781
chao_10.40c,C,2,1494,789.454
chao_10.40c,C,3,1488,838.803
chao_10.40c,C,4,1497,870.79
chao_10.40c,C,5,1501,857.742
chao_10.40c,C,6,1527,843.775
chao_10.40c,C,7,1489,850.895
chao_10.40c,C,8,1569,757.689
chao_10.40c,C,9,1550,821.855
chao_10.40c,C,10,1535,853.062
chao_10.40c,R,1,1348,947.156
chao_10.40c,R,2,1322,899.864
chao_10.40c,R,3,1360,850.952
chao_10.40c,R,4,1336,941.751
chao_10.40c,R,5,1326,909.182
chao_10.40c,R,6,1329,916.421
chao_10.40c,R,7,1319,955.642
chao_10.40c,R,8,1319,923.909
chao_10.40c,R,9,1308,910.599
chao_10.40c,R,10,1353,931.103
chao_11.25,B,1,768,503.024
chao_11.25,B,2,758,523.901
chao_11.25,B,3,770,532.315
chao_11.25,B,4,762,553.473
chao_11.25,B,5,757,555.566
chao_11.25,B,6,753,546.952
chao_11.25,B,7,762,544.651
chao_11.25,B,8,754,544.969
chao_11.25,B,9,745,550.863
chao_11.25,B,10,751,498.77
chao_11.25,C,1,843,595.444
chao_11.25,C,2,782,572.993
chao_11.25,C,3,798,539.962
chao_11.25,C,4,781,559.766
chao_11.25,C,5,781,552.3
chao_11.25,C,6,780,582.072
chao_11.25,C,7,784,577.428
chao_11.25,C,8,777,580.415
chao_11.25,C,9,804,579.675
chao_11.25,C,10,792,596.085
chao_11.25,R,1,766,588.667
chao_11.25,R,2,745,567.742
chao_11.25,R,3,745,597.385
chao_11.25,R,4,758,579.635
chao_11.25,R,5,740,571.43
chao_11.25,R,6,749,588.498
chao_11.25,R,7,754,592.146
chao_11.25,R,8,746,624.583
chao_11.25,R,9,746,560.647
chao_11.25,R,10,740,575.92
chao_11.30a,B,1,1060,622.726
chao_11.30a,B,2,1065,619.032
chao_11.30a,B,3,1042,621.505
chao_11.30a,B,4,1050,629.391
chao_11.30a,B,5,1050,636.149
chao_11.30a,B,6,1047,642.02
chao_11.30a,B,7,1097,647.177
chao_11.30a,B,8,1088,621.503
chao_11.30a,B,9,1101,598.153
chao_11.30a,B,10,1051,585.725
chao_11.30a,C,1,1103,652.256
chao_11.30a,C,2,1088,644.619
chao_11.30a,C,3,1076,638.195
chao_11.30a,C,4,1101,623.039
chao_11.30a,C,5,1127,628.065
chao_11.30a,C,6,1137,654.08
chao_11.30a,C,7,1103,654.134
